#{"t_start": 1750191148.5168521, "env_id": "None"}
r,l,t
1548.977778,5000,9.798027
1882.755556,5000,18.794601
1678.533333,5000,28.274767
1751.0,5000,37.262964
2453.933333,5000,46.656815
2155.133333,5000,55.616915
2126.044444,5000,65.03341
1968.955556,5000,74.10724
1733.422222,5000,83.150747
2227.688889,5000,92.570867
2232.177778,5000,101.540318
2647.022222,5000,110.942118
2481.977778,5000,119.95266
1997.977778,5000,129.398726
2413.533333,5000,138.379494
2414.288889,5000,147.777566
2359.488889,5000,156.785516
1861.688889,5000,165.795899
2150.644444,5000,175.21888
2227.222222,5000,184.22924
2016.066667,5000,193.653442
2606.333333,5000,202.723362
1542.733333,5000,212.11684
2394.688889,5000,221.100671
3207.733333,5000,230.490269
2771.866667,5000,239.563931
2177.622222,5000,248.573745
3248.155556,5000,258.044184
2127.511111,5000,267.040326
2179.088889,5000,276.445338
1812.6,5000,285.445833
1778.644444,5000,294.880989
2053.133333,5000,303.895142
2333.555556,5000,313.263133
1672.755556,5000,322.335045
2375.422222,5000,331.333215
2906.577778,5000,340.718108
2719.577778,5000,349.731819
2754.4,5000,359.208426
2199.511111,5000,368.245259
1639.577778,5000,377.696544
2172.022222,5000,386.644179
2683.866667,5000,395.623052
2108.377778,5000,405.116678
2702.822222,5000,414.195652
2220.066667,5000,423.527622
2291.6,5000,432.53636
2467.866667,5000,441.905547
2214.022222,5000,450.908371
1991.111111,5000,460.274489
2760.622222,5000,469.326126
2246.044444,5000,478.354613
2777.644444,5000,487.734065
2137.288889,5000,496.741714
2394.088889,5000,506.141166
2817.266667,5000,515.13168
2156.444444,5000,524.563519
2052.355556,5000,533.555581
2161.622222,5000,542.994633
3172.111111,5000,552.000093
2553.733333,5000,561.004692
2277.755556,5000,570.432116
2692.311111,5000,579.478477
2195.311111,5000,588.872598
1925.377778,5000,597.917807
2538.888889,5000,607.457933
2841.8,5000,616.505333
2092.177778,5000,625.942173
2215.577778,5000,634.959476
2859.311111,5000,644.047551
2382.422222,5000,653.456816
2988.466667,5000,662.444092
2727.244444,5000,671.890716
2469.333333,5000,680.893717
2329.711111,5000,690.325277
1926.955556,5000,699.323938
2425.333333,5000,708.315971
1806.577778,5000,717.729748
1509.444444,5000,726.729855
2533.688889,5000,736.138369
2334.977778,5000,745.146881
2300.0,5000,754.557103
2175.377778,5000,763.591423
2092.755556,5000,772.998225
2207.088889,5000,782.02574
2014.688889,5000,791.030439
1759.844444,5000,800.470181
2275.6,5000,809.525294
2375.733333,5000,818.925614
2214.688889,5000,827.991151
2442.977778,5000,837.452097
2403.0,5000,846.547623
2290.488889,5000,855.978835
2175.377778,5000,865.093848
1850.666667,5000,874.096815
2180.266667,5000,883.521355
2120.133333,5000,892.609297
2303.466667,5000,902.086941
2482.044444,5000,911.092253
2175.022222,5000,920.547611
2814.511111,5000,929.535374
2690.222222,5000,938.911668
2546.555556,5000,947.878913
2376.177778,5000,956.870593
2160.222222,5000,966.292163
2332.977778,5000,975.278647
2174.955556,5000,984.702337
2391.733333,5000,993.697488
2417.222222,5000,1003.083156
2081.266667,5000,1012.043532
2276.0,5000,1021.099993
2097.866667,5000,1030.524474
2650.066667,5000,1039.542988
2745.866667,5000,1048.95348
2261.822222,5000,1057.952881
2778.644444,5000,1067.355062
2535.2,5000,1076.341917
2396.222222,5000,1085.739125
2336.555556,5000,1094.858709
2245.222222,5000,1103.891668
2556.244444,5000,1113.290716
2345.933333,5000,1122.27407
2621.266667,5000,1131.672693
3290.177778,5000,1140.669575
2300.044444,5000,1150.07818
2068.4,5000,1159.091634
2162.088889,5000,1168.556253
2310.266667,5000,1177.575255
2432.555556,5000,1186.623089
2347.711111,5000,1196.072874
2779.488889,5000,1205.065881
2249.266667,5000,1214.475529
2457.844444,5000,1223.470057
2360.311111,5000,1232.892822
2804.311111,5000,1241.881295
2352.977778,5000,1251.293219
2556.8,5000,1260.283811
1663.822222,5000,1269.296156
1653.333333,5000,1278.74894
3140.755556,5000,1287.764386
2159.577778,5000,1297.177073
2677.022222,5000,1306.197503
2207.066667,5000,1315.741028
2825.222222,5000,1324.760091
1615.977778,5000,1334.181235
1803.644444,5000,1343.277027
2533.244444,5000,1352.291227
2025.933333,5000,1361.684843
1387.755556,5000,1370.676934
2099.577778,5000,1380.073523
2555.777778,5000,1389.067075
3479.466667,5000,1398.470077
2390.488889,5000,1407.502142
2140.711111,5000,1416.507006
2907.355556,5000,1425.93398
2331.4,5000,1434.959409
2482.955556,5000,1444.370257
2186.444444,5000,1453.416533
2543.288889,5000,1462.861635
2317.222222,5000,1471.844417
2340.2,5000,1481.295742
2205.688889,5000,1490.272164
1886.866667,5000,1499.264394
2014.755556,5000,1508.682738
3217.222222,5000,1517.663762
1531.644444,5000,1527.079214
2146.644444,5000,1536.157388
2638.977778,5000,1545.63805
1949.777778,5000,1554.660672
2391.266667,5000,1564.164803
2310.4,5000,1573.18333
1595.0,5000,1582.171895
2195.288889,5000,1591.605787
3264.6,5000,1600.634045
2265.266667,5000,1610.036063
2167.866667,5000,1619.041359
2225.577778,5000,1628.505302
2415.777778,5000,1637.580721
2230.111111,5000,1647.080025
2339.177778,5000,1656.103261
1873.244444,5000,1665.089978
1734.244444,5000,1674.46728
3255.644444,5000,1683.470979
1974.355556,5000,1692.871561
2350.444444,5000,1701.945655
2326.133333,5000,1711.358245
2492.644444,5000,1720.365678
2649.333333,5000,1729.395159
2597.644444,5000,1738.815749
1896.844444,5000,1747.904622
2533.755556,5000,1757.302371
2401.155556,5000,1766.291249
2422.066667,5000,1775.676053
2684.244444,5000,1784.664766
2522.466667,5000,1794.125452
1470.2,5000,1803.138298
2258.177778,5000,1812.213993
2552.422222,5000,1821.637723
2214.711111,5000,1830.651008
2348.2,5000,1840.059095
